prompt,completion
official happiness,"
The cosmonaut returned to Earth said moonshine

 was what he’d missed, and wurst. He described

 space: weightlessness feels nice, there is plenty

 of candy stuffed in the hatch-flap, et cetera

 and the kids think you’re a hero. You distract

 yourself with streets named after you, men in stiff-brimmed hats

 glinting their teeth and their brass buttons, jangling your hand…

  

 those thoughts are off the record. Asleep on the ceiling

 of someone’s utopian dream, the poster toddlers warble

 encouragements from rosebud mouths: Glory

 To Breastmilk, To the Countryside Electrified, To War

 Bonds and Corn and the bravery of slow

 animals who have no choice. Glory to your mom

 and the soldier who opened her like a fat clutch

  

 and closed her up again, tenderly

 and left for the front before you weaseled your

 wet red way out. The pipes of your *Stalinka*

 are still leaking sour water from the birthmark spreading

 its tea-colored mold across the white. Your life

 will be busy and short and in the end you’ll lose

 sensation in your legs. Two hundred million friends

 will weep as newscasters gasp platitudes

  

 in the imperial tongue. The birch trees creak and sway,

 creak and sway above the grove where the young

 pioneers of tomorrow will carry your corpse

 carnations, whistling The Motherland Hears,

 The Motherland Knows… Your last thought: Korolyov

 patting the pure white fuselage lovingly, grinning,

 “The bastards, they’re recording everything.”

  

  

 *  Stalinka: the colloquial name for a style of apartment building constructed in the Soviet Union

 between roughly 1935 and 1960.

 ** Korolyov: Sergei Pavlovich Korolyov (1907-1966), lead Soviet rocket engineer and designer

 of the Sputnik and Vostok spacecraft in the U.S.-U.S.S.R. Space Race in the 1950s and 60s.

"
the accomodation of desire the pants poem,"


In all likelihood, they were the ugliest pants I had  
ever seen. Something with the soft brush of velvet  
but none of the right lay, huge hem with full break.  

Repeating from somewhere once, I said “corduroy”  
comes from *cord du roi,* cloth of kings. Obviously, B.S.—  
I mean, who the hell ever saw Louis XVI in wools?  
I picture him now in the pillory, in Levi’s, with his head  
all spent, tumbled pale in the basket like an unripe berry.  

I get pale-dry like that when I sleep funny. Those days  
always seem so muffled, like a watch wrapped in cotton,  
and viscous time contracts like a vein. Just like that, a day  
can fold itself into three hours, skim milk in coffee.  
The way it falls in on itself, then disperses. Now look,  

I’ll be the first to admit: it’s been years since  
I truly wanted something. A pair of fuzzy socks  
with individual toes, the texture and color of moldy grapes.  
So it’s not that I want you, this oil-slicked time, these pants.  

More so, I want the feel of it, tight bands of corduroy,  
packed like bamboo, Styrofoam-peanut seconds  
pressed just-so to the minute, the easy sweep of skin  

on skin. The feeling of everything suspended  
at once, like how the light seems to honey  
in Nan Goldin’s pictures, a looming sense  
of awareness coming into a frail body,  

like the husband walking in on his wife with the plumber  
while John Lennon intones the “Day Tripper” chorus.  
It’s such a steamy coincidence that I whip pan to the husband  
as the words come down like hail: *It took me so long to find out,  
and I found out.*  

In the end, I don’t buy the pants, and nobody bothers  
to fix the sink, which is a flood hazard. Which is to say,  
nothing happened, and no one cared about it one bit.  

"
the last poem,"
(For Sarah)
<br>
<br>

The last poem I will ever write \
will be like the first dream I ever

wrote down, when I was green like a lawn \
that did not know it was not the world,

I had gone to school and learned to be \
a little angry argument machine

and all the dittos slept in the blue \
light of filmstrips about the last war,

and we stood in line for the movie \
about robots who saved everything

with the help of people that taught them \
the essential importance of death

words they did not need to understand \
but only speak when they faced the gate,

then I went home and read the stories \
about Norse Gods and fell into sleep

with its unrealistic drawings \
and never woke up until we met

and this was the dream I remembered: \
mother and father were standing there

each wearing the faces of those ones \
whose benevolence cannot be changed

by actions or time, they are constant \
like a room that hides in an old book

you filled with wildflowers and sunlight.
"
atonement,"
And this is how we seek atonement. From its plastic chrysalis we unfurled

 a kite. A ribbon off the transverse axis dragged the industrial sand meant to offset

 the inward press of oceanic plates. The smallest, the narrow runner, holds the diamond by its belly and begins. The eldest stands anchored, remembering the dressmaker’s grizzled husband who fell off his motorcycle, his beard matted with wax. The eldest wraps the line round her palms and pulls in hard against the wind. We’re up,

 we’re up. The middle child stands in the surf and searches among the mollusks and wrappers for three unbroken shells she’d string into amulets.

"
may i be curious,"

*for Allison*  

All lovers feel like they’re inventing  
something. How else would we work  
out the kinks? I am in awe of your  
pussy. You said it appears like I am  
doing an inspection. True. True.  
I lift the hood. I study your anatomy  
of flowers and fruit. Mixing food with  
sex disgusts you. You hate cantaloupe  
and the texture of cherries. Once, you  
had a nightmare about being force-fed  
grapes.  Your eyes change colors when  
you laugh. There goes the secret life of  
green, witch hazel spells of black magic.  
You encourage me to *keep climbing* as I,  
a heathen hymn, teach you the taxonomy  
of touch. You, a table of plenty, show me  
how to paint by numbers. One is never  
enough. Two: my lips at your neck. Another  
two: the sound of my name—twin flame  
of your own. Four: your hands around my  
ankles. I present you with pansies and lilac.  
This poem is a form of praise and worship.  
In years lived, you’re on page twenty-eight,  
and I on page thirty-two. I hope that you  
survive me, I do not ever want to go without.  
"
philadelphia,"
The service must have just ended, \
because the boys in their dark suits

and the girls in their skirts and dresses \
were spilling through the open doors  

as I walked home, Sunday \
in the late morning, wet light shining 

on the church’s stucco wall, the heavy white blossoms \
nodding from the rain just stopped, and the wet earth

surprisingly soft \
each time I stepped from the sidewalk to the bordering grass 

to avoid someone on the crowded pavement, and I was thinking how \
Brooklyn was  

nearly a year behind us now, each day’s long walk \
to the long wait for the late train 

to take me to work, the small apartment with the black balcony \
where the red birds gathered  

and one or the other of us sat smoking \
in the evening, or after we had argued,  

and were we happy now, I wondered— \
turning up the front steps— 

but hadn’t we gotten everything we’d wanted?
"
eel and water,"
Eel as   
if there is a  
care such  
that a   
syllable can  
bridge it  
without.  
  


Eel, is   
there one  
sea to  
make or  
is one to  
throw in  
an other?  
  


About tender:  
will I have  
had room?  
Or does  
the col-  
lation disjoin   
that need  
to know?  
  


At least it  
can now be  
said that if  
fusion is  
room-making  
then we have  
either the eel  
or the ocean.  
  


"
narcissus,"
The body near the screen tests itself, rests on itself, akimbo as windowcurtains pinned  
back, just a touch, green kimono cinched in pale rope, as one might flinch if  
pressed into soul’s glinting weight. Quick now, quick, those little lamps  
have all burned down, now your blue dune of breastbone isn’t  
seen except as remembered, and I will not sleep turned  
in here, will not sleep anyplace else than curled in  
streams panned with gold and no, this day is no  
such, pinching into its vise, steadies itself for  
night’s oiled blade, pillow-cold,  
inevitable, not this twisting,  
not I-who-cut-out,  
not I-who-knew-  
who-sang-  
I. 



"
argo my argo,"


The mirror’s clubfooted,  
not me. Afro’s gone Medusa again.  

Every coil’s its own Hydra.  
I’m adventuring with a comb.  

The sink’s full of myths...  
The myths are growing...  

Everyday I find myself  
smaller with effort,  

my life’s light  
with every person who  

spoke of me. Last night,  
Achebe tried again  

and I nearly heard him.  
Ngũgĩ refuses these tones, says,  

*this music has the worst sort  
of oceans beneath it.*  

Besides, his ears  
are busy with real myths…  

*Being alive must be nice,*  
says the sink-basin, filling  

further with myths…  
I say, *abandon narrative,*  

latch on to landlocked  
home— forget ships,  

take planes! land with  
passport on to place  

with shore— forget ships,  
take planes! land with  

passport back to place  
without shore— forget ships  

for a day sometime on  
winter break, during summer—  

our only seasons here.  
My body’s a clubfooted boat,  

not me. One time I went  
blonde, that’s a different  

prow. One time I went  
with suit-jacket, that’s a different  

sail. One time I go  
and touch the exact difference,  

pretty, sailing, she says, *I love you.*  
I say, *whose boat.*  

"
bivalence,"
Far back before the sun  
made any sort of difference,  
and the icicles hung like knots  
in the light-grains that housed us,

I was unafraid to take your hand,  
unaware of the future we unzipped  
like a winter coat in late March,  
thinking not so much I was touching you,

but somehow touch, and thus entering  
some kind of experience. But it was remarkably  
just like any other object, for something  
with so many nerve endings.

Even your eyes, glowing in the halo  
the sun praises from the atmosphere  
in a still and timeless ring of dawnanddusk,  
spin through it like a pair of fading globes.

"
night hunt,"
Under the night’s maw the boar waits

 heaving black and bristled breath, night

 roils down the hillsides in heat spirals

 collecting in omnivorous dark the hours’

 end buffing night sounds and bating

 the mind’s early stillness. The ironwoods

 bend and whimper about bristling

 haunches rooting bristling roots of red

 clay white tusks between the shoulder

 blades of dogs behind a man borne down

 on scent wide across his broad back

 bulk of night cool on his thick neck

             Nascent light—here none—

 but the purpled hour like the dogs’ deep

 colored tongues still wet tremulous

 the boar still thrashing in the precipice

 raw gnarl of the tree vine and red flower

 the island’s gashes go boiling down

 its sides ashen-barked volcanic trees

 the boar barrels through the girls

 set on him their chorus of yells strains

 through the dark I wait the girls’

 shouts into the terse dawn the dark

 tree-throats relinquish the yawing

 clamor at the yellow dawn and light

 discerns the long ocean’s sweep.

"
bone,"
  Not a solid thing, like steel or a rock.

 Full of voids, the way a vault is capacity

 for what is to come, and what was.

 The passing of a person who has built it.

  

 In this way it resembles bone—serpent

 eating its tail, one half, osteoclast,

 dissolving the other, cells foaming

 from this effort. Bone-cleaver cleaved

  

 to bone. Though what survives is just the distal

 white form, a hollow—bone’s death

 masks—what awe that we make out

 of this brokenness a constellation: bone.

"
winter landscape,"

*A woman is / turned into a lake she is  
      secretly pleased.* Great blue herons  
are moving across the sky / and the body  

of this twisted oak its / arrowed branches / flung  
      in every direction / is now  
leafless / so that its outstretched  
      arms do not / run the risk / of breaking  
their own weight / *cold sweat poured down  

my imprisoned limbs wherever / I moved my foot  
      a pool gathered* / that this water could  
bruise me my voice / caught in bird-call I  
      want you to put me in the ground  
with my mouth open / and when we say earth  

we mean human  
      earth / foxes have no history  
transcripts / know not how their great grandparents  
      died / and who among us / records / the continual  

losses / it is lighter / to be fleshless / a beetle colony  
      takes three months to eat / a white dog clean  
like a hymn / say / *I will be taken* / knowing  
      the bones will remain.  

<br>
<br>
<br>
<sup>1</sup>The first line of this poem is inspired by Jia Tolentino’s New Yorker Article “How a Woman Becomes a Lake.” The other italicized portions of this poem are taken from Ovid’s *Metamorphoses,* when the nymph Arethusa recounts how Ceres, the river god, tried to rape her and as she was fleeing from him, she turned into a lake. 
"
rain and mountains,"
Sitting on a ledge,

 observing the landscape

 below, she admires

 the proportional

 beauty

  

  

 of the sycamores,

 spires, and greens,

 but the air smells ornery,

 and she is distracted

 by a vibration.

  

  

 She wants to wash

 her hands but cannot.

 All things might

 change but do not.

 Plagued by uneasy thoughts,

  

  

 she wishes she’d

 taken the drugs.

 It’s as if her head were

 partially blown off.

 Who will find her?

  

  

 The view across

 the valley reveals

 an electrical storm coming in,

 squeezing the clouds,

 tearing them asunder.

  

  

 Long ago,

 her parents nuzzled her,

 murmuring, My love,

 but now her eyes

 are salt-choked,

  

  

 and a fragrance

 blows from the river,

 as daylight topples over,

 darkness coming

 suddenly in the North.

"
good night,"
Walking from where

eternity starts

 

eyes ahead 

 you circle it 

   

 how brief in noon did you bend to the eyeworn field washed with the dirt of sunlight, hold your breath as if to harden, ungleam, end into leaf, but you did not and sniffed the burngold air you stained, and passed on, leaving the field attentive, opener, as if it were suddenly the absence complementing a gone body and the snow starts shh 

   

 *Fremd bin ich eingezogen,* 

 *Fremd zieh’ ich wieder aus* 

   

 A pace, a tread which says we will get nowhere but continue, a hymn living in the church of its tone, wandering, to fall exhausted into God’s lap

 * *

 *Nun ist die Welt so trübe,*

 *Der Weg gehüllt in Schnee.*

 * *

 In the snow, in the woods, with not much moon, there are no shades of sound but terraces of it, precise as how glass shatters, and the wanderer’s steps, having been absent forever, speak. An overtone of the fact of this heartbeat is a melody like a faithful translation of past hope into the inevitable present pulse which goes nowhere and is true enough as to seem never to have started, always to have measured its minor syllable, a dragged foot long, through the snowreadied field which waited for it, the road like an abandoned attempt at exactly this. And the thought takes shape

  


 *Ich kann zu meiner Reise*

 *Nicht wählen mit der Zeit*

  

 The way even this steamed mercuryline of song was long constructed by the cold, by the drying white throat of silence which oriented, at your steps, toward the hot black pupil of you. And what you give

 words to had just

 been said un-

 -translated, I cannot

 pick the time, then

 you were propelled

 up

 to speak

  

 *Muß selbst den Weg mir weisen*

 *In dieser Dunkelheit*

  

 But the way is already found and you sing to show the darkness a perfect darkness. Which does not lighten but keeps you a breath’s length from the world, where speech is. But farther, from the distance of music or the eye’s blackshone core, it is all unreal enough to be gray. But you find nothing. You dip yourself in brighter black so you will be lost and the same hand which mouths your words before you pour the hearthsmoke of breath into them will plot unfeeling the path you will feel.

  

 *Und auf den weißen Matten*

  

 Who hunted the deer whose tracks hunt and predict you

  

 *Was soll ich länger weilen,*

 *Daß man mich trieb hinaus?*

  

 Here there is no away to be driven. For passing your hand through the tones around black as through shades of water you pass through black again, so that black comes to be only where you walk from and where, you keep remembering, you are going. The farmhouse is an accident, the gold of its eyes glancing away and going out, a face, did you call for it? You cannot fix its gaze.

  

 That the modulation from minor to major is the most painful one. Achieved by wincing into surplus a pool which accumulated,

                                   unnoticed,

                                   to brimming,

                                   nightlong. The listener’s face is loose, open, and the eyes blacken and wet to match the dark or breathe in it, the cheeks hang around the set jaw of the minor third. And it expands and the listener cracks into an

                                                    instant of

                                                    smile, that

                                                    shatter and

                                                    diminuendo

                                                    of ache, one streak

                                                    of exiled sunlight. How much he smiles through. The pool spills.

  

 *Will dich im Traum nicht stören,*

 *War Schad an deiner Ruh*

  

 I could not disturb

 your dreaming you will

 not hear my steps

  

 The door touches

 the frame and makes dark and

 I wake and start

 wandering and

 I write, above, good night, no, there is

 no above night, I write

                          good night out of night’s

                          ink on night’s

                          fabric so you will know

                          I thought of you, no so

                          my breath pads the black

  

  

  

  

  

  

  

  

  

  

  

"
or manhattan translated,"
*translated by Kyoko Yoshida and Forrest Gander*

 

Manhattan is

 to approach Manhattan

  

 taking a yellow cab from JFK and

 still looking for it

 when I wonder will it show up

 asks my wife (same case

 when we went to see the Moroccan desert wasn’t it

 I calm her down

  

 it’s all about the approach

 Manhattan is

 its own desert (perhaps

  

 and finally

 like a distant mirage

 the silhouette of that throng of skyscrapers comes clear

 we are thrilled a little (from the oasis town of Erfoud lush with date palms

 thirty kilometers by Land Rover (beyond

 the tracts of dirt and rocks

 graceful (so exquisitely graceful

 golden swells of dunes rising (we

 were thrilled a little

  

 Manhattan is

 nothing but a marvel of nature (perhaps

  

 behind the neighboring (Queens?

 Brooklyn? buildings and billboards it slinks

 off and disappears (disappears

 and reappears (meanwhile

 growing more intense

 the pleasures of approach

 the anguish of approach

 in a mesh (Manhattan is

 growing more intense

  

 and then

 as though to shield it again

 an elevated subway’s rusty viaduct (rusty in pure bright auburn (behind

 which the throng of skyscrapers

 stand in contrast like the light and shade of America herself

  

 or (let’s put it this way

 if Manhattan were a gift for us

 it’s been decorated with rusty viaduct

 like a ribbon of crude joke

 and thrust at us (or

  

 Manhattan is

 pure ferocity (perhaps

 its gentle cage of rusty auburn shields it

 the cage vertically and diagonally (meshed like arabesque patterns

 ruddling our cheeks

  

 and yet

 the mesh unbinds and the city emerges (endlessly

 unbinds and (unbinds and (unbinds and it emerges

 the ribbon and cheeks left

 circumvented by a forest

 of throated hollows

  

 Manhattan is

 unbinding and emerging (unbinding and emerging

  

 suddenly

 having crossed the Queensboro Bridge

 we pull up short

 of a greeting

 to those throated hollows

"
glass,"


outside, two children pull the  
wind back under their t-shirts  

smoulder & smoke  
into two fat fists of need  

bring their hands down in bars of  
light & drink from their reflections  

if you listen closely, you can hear  
the gravity lift off their thighs like  

sad music; the kind that makes you  
want to forget, the kind that keeps  

your eyes locked on the moon’s open  
jaw for hours – they have always  

wanted to be the clot of blood you  
dawn and sharpen in your hands  

ripe nubs of azaleas for mouths,  
they kiss the gods their feet  

learnt to worship: the soft  
dirt, foxglove, grass  

this is the forest where they became  
mythless again & inside, they nailed  

their bodies to its dark  
long / winged / &  

faultless as the throat of god  
snow ashes / snow breaks  

& snow lifts / Go ahead / tell god of  
your marble voice, the light  

see what He will do  
don’t be fooled: what you love  

most must be untouchable / there  
is no tender omen to describe this  
"
last winter,"
There is no winter but she saved

 two pomegranates for me

 from the deer and the salt

 winds. They grew into the window.

  

 Each year there are more fields

 let go to seed. She cannot

 stop planting even as the green

 up and envelopes her.

  

 I must count each leaf, stroke

 each new moss and name each.

 I must sit in one place until

 I have named and kissed each

  

 thing and then I turn to the next

 in my orderly radius and they keep

 sprouting exuberant and I

 am weary of counting the wildness.

  

 I do not know the seasons

 any longer coming as they do

 endlessly or never: here I am

 left counting the small and kind. 

"
lagomorph,"
  
I’m really a fan of the rabbits, of slender ears  
of their long left ears, fickle, triangulating signals from the wind, beneath the bushes beside the large ferrovitreous cistern collecting dimensionless shadows of European attitudes. Now the right ear bends, turning toward ground the innominate blades under snow here.  
Now I’m really a rabbit, mostly dishabille,  
a shapka-ushanka with flopping ashen flaps above, bobbing below, my peculiar ears.  
Here I’m down on fours and my legs  
learn new syntax from the available experience of lassitude proffered by vernal narcoma.  
Now I’m not worried if I have stipend in backlog with which to purchase utterances of the coterie or nibble the ivory indices of semophones. Here weightless excuses sink into deep wellsand anchorites emerge from ochlophobia to diveinto the ice covered river intothe yellowmost layer of scaffold, of secondhand sulphur, down the clear river-torso, skimmuddied toesconjured by buoyancy stiffened by cold.  
Now, the rabbits are speechless.  
All these worries submerged in praise!  
As a fan, I’m curious by megawatts, stupid by cocktail;  
I chase with abandon. I kick in the snow, shoot up  
white hurricanes, flares reflecting frightened Andromeda. The warren, below roots and rubble under cedars, is too smallfor my biophysical exuberance; the undercarriage of trees disorients me.  
Now I’m here, and I will be here  
until it’s time to rub against the clock,  
against the changeover at the rotary. I turn sinuously, I accelerate out of lens focus,  
beyond the pointillistic boundary.  "
UntitledMV,"

Few understood the fire  
and no one warned those  
who walked toward it  
or the spectators that gathered  
on rooftops and balconies to watch  
the wind carry it in dull waves  
 
Every light becomes a celebration  
at night when time worn thin  
rips under the weight of measuring hands  
 
The beams and walls of houses  
now diminished outlines  
left open welcoming late guests  
 
Around the fire pit  
the air regains its shape  
and rests a heavy coat  
the relief when darkness gives you warmth  
and in its hold there is no need  
 
To be seen a shadow or a body  
"
synovial,"
“Joint fluid,” said the physician, spilled \
             from a sprung seal in the ultimate knuckle \
of my left index finger, just shy of the nail, \
             and gathering there to a “mixoid cyst,” \
a substance also called “digital mucus.” \
             Once a woman with beautiful hands  \
said to me, “There are very few physical pleasures \
             without a little mucus.” \
But when this doctor with an expensive \
             lancet lanced it, there oozed from my mixoid cyst \
a viscid substance vastly more limpid than semen \
             or vaginal secretions.  It was like a tear \
wept by a fly-sized golden butterfly— \
             and when I touched the tiny glistening orb of it  \
with the pad of my opposite index finger, it clung \
             to the print’s whorls, and when I swirled it \
against the pad of my thumb I understood \
             my body will never repay me \
for the satisfactions I give it every day by moving. \
             O itty-bitty pure lubricious gobbet, \
O most licentious and merest whit betwixt the pads \
             of index finger and thumb \
slid together so lusciously the joints between my carpal \
             and metacarpal bones thrummed a hum \
through every atom of my corpus \
             from this side of corpsehood all the way back \
to the slither and divot of my conception, \
             which the doctor, seeing the look on my face, \
closed his eyes before the lust and rapture of.
"
of the dead white men,"
Because some of them crawled on broken

 hands and knees to save me

 with their poems.

  

 Because I was only

 wretchedness at the edge of an abyss

 of fashion magazines, and that

  

 trickle of water down the side of their mountain

 into my empty cup, which I refused to drink, they

 were offering that to me.  Because

  

 I washed my face in their blood.  Because

 I tossed my hours in their coffins.

 Because I was otherwise just dust rising off

 a lampshade.  My

 tatters in rags without them:

  

 A girl blinded by her own hair

 riding her bike somewhere—

 stupid, dying

 for want of what

 was written there.

  

 A glittering starvation, forgiven.  Willing

 to burn their hands for me

 to deliver it, burning

 while I denied that it was burning.

  

 I was like a child outside a cave of snow

 that had collapsed on her fathers.

 I laughed, wildly, for a little while.

  

 And then I screamed.

  

 And then I pouted.

  

 Then I grew older, and had to begin

 to dig my own pitiful little

 hole with a teaspoon to get to them.

"
traps,"
The spud keyed up the ice

 like Tec was trying to chip

 flakes into his lemonade.

 That’s pretty fucking deep

 right there, he massaged

 from cheeks taut

 with the cracked

 shake of trees

 unchewed: not much

 but jagged beeches,

 stretching their necks

 against the settling

 cut of cold.

  

 He stepped slow

 through the flat snow,

 enough to cover the leaded gouge

 of the spud.

  

 Gotta cut some poles,

 he said, kicking a clean chew astray.

 That’s a big house.

 He fingered the painted hatchet.

  

 His hole echoed across the

 whited bog—long enough to get

 the dead-spruce poles down,

 wide enough to get

 a fifty pounder up. Diving

 his hand and wrist and arm

 into the black,

 it came back crystalized.

  

 Right there—that’s the channel to

 the feed bed over there,

 a snapped stick lump

 large enough for four.

  

 Tec pinched the springs in place,

 strapped those to the poles.

 Using a three-thirty here,

 a blind set here.

 Tec rapped on smiling

 green splint sticks

 in his oiled pack basket.

 This here popple

 is candy to them.

 He wired a chunk

 to the wiley trigger.

  

 The ice moaned deep and low,

 the pins, the masses

 leaned in, stared.

  

 Tec sets the toothless jaw wide,

 a gummy smile of rust,

 it slips into the water,

 nestles aside the muck.

"
acid reflux,"
The way my doctor goes about it  
seems to allude that anything is a well  
some distance from total drainage.  
It is true that my body has endless  
things to say to you who touch me  
through the sleeve of this day mist.  
The earth was made too vain to consider  
that any one thing must gones for another  
to preen. All of the parts of me keep  
reaching like mimosas for touch  
and killing themselves. In the last of my most  
hopeless weeks in Boston as it was slow  
wintering my only pleasure was to drink  
glass after glass of orange juice by myself  
watching what could have been the end  
of my life. But I don’t think I can ever  
be finished; I’m in love with far too many  
countable things. And there are all their names  
to learn. Whatever you say I’ll plant  
a thousand flowers to retaliate. Always  
you want to be special in your nothing  
but there is the pail of your body working  
against its own current insisting  
with unweary voice there is no end  
just water on water on water.

"
preparation ritual,"
**Preparation ritual:** *You must atlas the vessel before burial. Sweeten* 

                                                                                                 *the thread that joins* 

              *the feet to the throat. From the groundwater in the uncontacted soil, draw out tasteless precious metal* 

 *that slides through your hands* 

  

 blessed Anthony I’m talking to you because I’ve bent myself like this before. And because there is 

                         something sleeping in my throat, 

                         a warmth growing 

  

                                                                     *like butter. Invite this glowing substance into your blood. Let it eat* 

                                                                     *the unlocking muscles, not so different from plant fiber. Let it fill* 

                                                                     *the chips and ridges and reach the cool center* 

  

 When I smoke, Anthony, feel it stir. 

 When I speak, feel it curl 

  

 *of the bone. Braid your hands into the reeds around you *                  

                                                The something burrowing in my blood? His back 

              lit through the window. 

                                      Anthony let me forget let me not 

                                      call his name in the grocery store. 

              *A river will blink back at you. Let that be action too. The river will* 

  

 *replace the ribs.* Let me forget the ridges 

 of his first teeth. *Watch the pitted sand* 

  

                                                                        *remove itself* 

                                                                                     *from the creases of your palms.*  

                                    It’s raining and our hands are backboned together over the gearshift at a stoplight. It’s  

                                    raining on TV and I’m still waiting. I’m waiting and the weather is failing to comply.  

                                    Anthony, I’m pushed right up against my skin. 

                                                                                                           *Kiss the wrists, thick* 

  

                                                                      *with mud and oil.* Look, 

                                    the repeated image of a consecrated body.  

                                                                      *Look, Anthony,* 

                                                there is nothing left to consecrate. 

"
spinifex fire,"
mosaic burning  
We burn the rings. We burn the hummocks threaded up  
 from sand back down to it. We knit their manyed  
 peaks into the flame, a fire beating from our hands.   
 Its fingered blades. The isthmic strands we grip  
 that weave the hummock in. From heartring   
 dead. From younger rings that age in lockstep  
 round, proceeding. Radiate: the mice twitch   
 burrow into run. The smoke unfurls its plane.   
 The fires constellate, and lifting, dredge  
 those yawning pupils open on the sand.   
  
spinifex ring  
 The one to one that touches in its bright makes many   
 scurrying out to scent what good direction. To unspool  
 out the hum. The hummock’s rustle frays the strains  
 each pulsebeat measures. Each hurries from  
 that feathered mouth that hisses as it preens.   no   
 no  very bad and blooming  the sky gluts thick  
 and drops.  The what for whom sheer wanting sprouts  
 its limbs, appends and swells the objects in its reach.   
 It rises them. The hummock bursting upwards   
 by that bright, then bustles, shines and caves. The  far  
 and farther till the air sinks up.  The shadows   
 planted down await their fated objects in the clearing.

 * *

 *Note:  Spinifex is a grass that grows in hummucks in Australia. When the hummock ages, its inner circle collapses, resulting in a ring.*

   


"
la montagne qui accouche 1982,"
REPRINTED FROM THE 1982 SUMMER ISSUE

  

 Translated from the French by Robert Fitzgerald

  

 Une montagne en mal d’enfant

 Jettait une clameur si haute

 Que chacun, au bruit accourant

 Crut qu’elle accoucherait, sans faute,

 D’une cité plus grosse que Paris:

 Elle accoucha d’une souris.

  

 Quand je songe à cette fable

 Dont le récit est menteur

 Et le sense est véritable,

 Je me figure un auteur

 Qui dit: “Je chanterai la guerre

 Que firent les Titans au maître du tonnerre.”

 C’est promettre beaucoup; mais qu’en sort-il souvent?

 Du vent.

  

 A mountain mountainous in parturition

 Broke all the windows of a valley neighbor

 Who tumbled on the run to view her labor,

 Thinking a mountain in such huge condition

 Might bring forth Hell itself: a town: at least a house.

 The mountain was delivered of a mouse.

  

 This story, if I’m sober when I read it,

 Strikes me as somewhat tall, if not gigantic:

 Yet even for the most approved Romantic

 Its literary sense is clear: concede it.

 Think of the poet who begins his piece,

 “I sing the lords of night and the day’s release,”

 From which impressive pangs what issue do we find?

 A little wind.

   
  


  

 Found lately among papers of 1931, when I was a Sophomore and taking Professor Irving Babbitt’s course in the History of French Criticism. —R. F.

  

"
after fishing,"
  Then take the hard right where blue river reeds

 obscure the bank, waist-high, where the dock,

 that dumb, clean monk, has lost its red habit

 to the current, limbs scoured by microbeads.

  

 “It really ain’t that hard, you just loop the line

 loose around the sticky bait, drip the knot in

 your mouth, and cinch, trap wire for yellow

 perch, that what your mouth is for,” he grinned.

  

 And that was what he said. What this shored mind fills in.

 Reaching back, my hand is fishing for the true

 weight of his knife, warm, yellowed, and finds

 a phone, no bars, the hollowed waters

  

 parting. Hungry go those who long after fish long

 after fish are gone, still, scale-silt, umber. 

"
a proposal,"
honeydew, hold me—\
haggle over my seeds \
with your\
own— flower 



over hovering \
above hinging \
upon you—\
I like you in



slices I like you\
upholstered in a \
hell on Hollywood \
Boulevard hatted 



so lowly and \
heavily\
no one knows \
who you



could be \
honeydew—I like you\
never in Manhattan\
hot & heaving



sweating on \
my forehead in my \
hair welled in \
neck’s hollow—



when do\
you hurt— \
in these hallucinations\
of mine you are always



bleeding\
and always smear it on me—\
it happens\
at the thresh-\

<br>
<br>
<br>

hold—\
I would like to be held\
you would too\
in this sunlight



I handcraft and embroider\
what I am trying \
to say to you. you do\
very well.
"
honest in which not gently,"

Does it matter how festive it was, the setting out for far country,  
the horses, their chestnut flanks, their eyes the color of black basil,  
which is purple, really? Now just skulls where a face used to be,  
shameless, as in bereft of shame finally, each catching the snow  
gently but differently, the snow, and the wind scattering it, as if  

unapparent meant nonexistent. They say language has its own sorrow,  
but no word for it: does this crying out maybe come close, though,  
can we say it does, to have stared into the dark and said aloud, even  
if quietly, Who’s there? Anyone around? Panicking too late, as is  
the way with panic, the killer stumbles through woods and a snowfall  

that feels like ritual and a release from ritual, so that it also feels –  
at first, anyway – like being lost, but free. Beneath the pines, the two  
horses stood exactly where he’d left them untethered hours ago. Snow  
dusted their fine bodies. Nightmare. Nightmare Lifting. Their names  
swim up to him. I remember, now. Yes. Now it’s all coming back.  
"
landscape with an aspen,"
Morning is stark over the contours of two hillocks. The slopes are trapped in slow folds of air bright as the glass of an unused photo frame. The air gathers reflections from the undersides of leaves that look like quieted skin in a room with the curtains drawn. The leaves stick to one another and to the bark of the tree that swoons into the blue space off to the side, following the rules of good composition. There are no clouds and the sun is not pictured. Neither is the procession of women that had just passed through here. They wore hoods and held out cupped hands. Their cupped hands carried nothing. Perhaps a bell tolled in the distance and the echo followed them. That we could never have known. But the women, the women – the creases in their palms were thin smiles.

"
